Mã số,Câu hỏi,Ghi chú,Trả lời
'1. TỔNG QUAN DỰ ÁN,,,
'1.1. Bối cảnh và Mục tiêu,,,
'1.1.1,Vấn đề hiện tại mà quý công ty/nhóm đang gặp phải trong việc quản lý công việc là gì?,Xác định pain points,
'1.1.2,"Hiện tại quý vị đang sử dụng công cụ/phương pháp nào để quản lý công việc?","Trello, Excel, giấy...",
'1.1.3,Điều gì khiến quý vị không hài lòng với giải pháp hiện tại?,Limitations,
'1.1.4,Mục tiêu chính mà quý vị muốn đạt được với ứng dụng mới là gì?,Primary goals,
'1.1.5,Quý vị mong đợi ứng dụng này sẽ giải quyết vấn đề gì cụ thể?,Expected outcomes,
'1.1.6,Dự án này có deadline cụ thể không? Nếu có là khi nào?,Timeline,
'1.2. Phạm vi dự án,,,
'1.2.1,Ứng dụng này dành cho sử dụng nội bộ hay có thể mở rộng ra bên ngoài?,Scope,
'1.2.2,"Quý vị muốn ứng dụng chạy trên nền tảng nào? (Web, Mobile, Desktop)",Platform,
'1.2.3,Số lượng người dùng dự kiến trong 6 tháng đầu? 1 năm sau?,Scale planning,
'1.2.4,Dự án có chia thành nhiều giai đoạn không? Ưu tiên tính năng nào trước?,Phasing,
'2. ĐỐI TƯỢNG NGƯỜI DÙNG,,,
'2.1. Nhận diện người dùng,,,
'2.1.1,"Ai là người dùng chính của ứng dụng? (Vai trò, chức danh)",Primary users,
'2.1.2,Có bao nhiêu nhóm người dùng khác nhau?,User personas,
'2.1.3,Mỗi nhóm người dùng có những nhu cầu khác nhau như thế nào?,Different needs,
'2.1.4,Ai sẽ là người quản trị hệ thống?,Admin role,
'2.1.5,"Trình độ kỹ thuật của người dùng như thế nào? (Thành thạo, Trung bình, Cơ bản)",Tech literacy,
'2.2. Vai trò và Quyền hạn,,,
'2.2.1,Quý vị hình dung có những vai trò nào trong hệ thống?,Roles definition,
'2.2.2,Mỗi vai trò có thể làm được những gì?,Permissions,
'2.2.3,Ai có quyền tạo/xóa không gian làm việc (workspace)?,Workspace admin,
'2.2.4,Ai có quyền mời/xóa thành viên?,Member management,
'2.2.5,Người dùng có thể thuộc nhiều nhóm/workspace không?,Multi-workspace,
'2.2.6,Có cần tính năng phê duyệt khi thêm thành viên mới không?,Approval flow,
'2.2.7,Có cần role tùy chỉnh (custom roles) không?,Custom roles,
'3. YÊU CẦU CHỨC NĂNG,,,
'3.1. Xác thực & Tài khoản,,,
'3.1.1,"Người dùng đăng ký tài khoản bằng cách nào? (Email, SSO, OAuth)",Registration method,
'3.1.2,Có cần tích hợp đăng nhập bằng Google/GitHub không?,OAuth providers,
'3.1.3,Có yêu cầu xác thực 2 yếu tố (2FA) không?,2FA requirement,
'3.1.4,"Chính sách mật khẩu mong muốn? (Độ dài, ký tự đặc biệt)",Password policy,
'3.1.5,Có cần chức năng quên mật khẩu không?,Password recovery,
