Mã số,Yêu cầu phi chức năng,Chi tiết,Giá trị/Tiêu chuẩn,Ghi chú
'1. HIỆU NĂNG (Performance),,,Critical,
'1.1. Thời gian phản hồi API,,,
'1.1.1,Read operations (GET),Lấy danh sách task/project,≤ 200ms,
'1.1.2,Write operations (POST/PUT/PATCH),Tạo/sửa task/comment,≤ 500ms,
'1.1.3,Delete operations,Xóa task/project,≤ 300ms,
'1.1.4,File upload (≤10MB),Upload attachment,≤ 5s,
'1.1.5,Search/Filter,Full-text search,≤ 500ms,
'1.2. Khả năng chịu tải,,,
'1.2.1,Concurrent users,Số user đồng thời tối đa,100,
'1.2.2,Requests per second,Tổng requests/giây,500 RPS,
'1.2.3,WebSocket connections,Kết nối real-time đồng thời,100,
'1.2.4,Database connections,Connection pool size,20,
'1.3. Tối ưu hóa,,,
'1.3.1,Pagination,Mặc định/tối đa items/page,20/100,
'1.3.2,Lazy loading,Cho attachments và comments,Có,
'1.3.3,Caching,Redis cho dữ liệu ít thay đổi,user profile/workspace info,
'1.3.4,Database indexing,Các trường query thường xuyên,Có,
'2. BẢO MẬT (Security),,,Critical,
'2.1. Authentication,,,
'2.1.1,JWT Access Token,Thời hạn,15 phút,
'2.1.2,JWT Refresh Token,Thời hạn,7 ngày,
'2.1.3,Password hashing,Thuật toán,bcrypt (salt rounds = 10),
'2.1.4,Password policy,Yêu cầu,≥8 ký tự + chữ hoa + chữ thường + số,
'2.1.5,Rate limiting login,Số lần thất bại → khóa,5 lần → khóa 15 phút,
'2.2. Authorization (RBAC),,,
'2.2.1,Owner role,Quyền hạn,Full control tất cả,
'2.2.2,Admin role,Quyền hạn,Manage members + CRUD project/task,
'2.2.3,Member role,Quyền hạn,View workspace + CRUD task của mình,
'2.3. Data Protection,,,
'2.3.1,HTTPS/TLS,Version,TLS 1.3,
'2.3.2,Input validation,Sanitization,Tất cả inputs,
'2.3.3,SQL Injection prevention,Phương pháp,Prisma ORM parameterized queries,
'2.3.4,XSS prevention,Phương pháp,Output encoding,
'2.3.5,CORS configuration,Allowed origins,Configured,
'2.3.6,HTTP security headers,Implementation,Helmet.js,
'2.4. Audit & Logging,,,
'2.4.1,Activity log,Scope,Tất cả write operations,
'2.4.2,Log retention,Thời gian lưu,90 ngày,
'2.4.3,Sensitive data,Logging policy,Không log passwords/tokens,
'3. KHẢ DỤNG (Availability),,,High,
'3.1. Uptime,,,
'3.1.1,Availability,Target,99% uptime,
'3.1.2,Planned downtime,Tối đa,≤ 4 giờ/tháng,
'3.1.3,Recovery Time Objective (RTO),Thời gian khôi phục,≤ 1 giờ,
'3.1.4,Recovery Point Objective (RPO),Mất dữ liệu tối đa,≤ 24 giờ,
'3.2. Error Handling,,,
'3.2.1,Graceful degradation,Khi service lỗi,Có,
'3.2.2,Retry mechanism,Strategy,Exponential backoff,
'3.2.3,Circuit breaker,Cho external calls,Có,
'3.2.4,Error messages,Policy,User-friendly (không expose stack trace),
'4. KHẢ NĂNG MỞ RỘNG (Scalability),,,High,
'4.1. Database Scalability,,,
'4.1.1,Users,Current → Future,100 → 10000,
'4.1.2,Workspaces,Current → Future,50 → 1000,
'4.1.3,Tasks,Current → Future,5000 → 500000,
'4.1.4,Comments,Current → Future,10000 → 1000000,
'4.1.5,Attachments storage,Current → Future,10GB → 1TB,
'4.2. Architecture Scalability,,,
'4.2.1,API servers,Scaling strategy,Stateless (horizontal scaling),
'4.2.2,Session/Cache,Shared state,Redis,
'4.2.3,Database connections,Strategy,Connection pooling,
'4.2.4,File storage,Abstraction,Local → S3,
'4.2.5,Architecture,Design,Microservices-ready modular,
'5. KHẢ NĂNG BẢO TRÌ (Maintainability),,,Medium,
'5.1. Code Quality,,,
'5.1.1,Test coverage,Target,≥ 80%,
'5.1.2,Code documentation,Standard,JSDoc cho public APIs,
'5.1.3,Linting,Tools,ESLint + Prettier,
'5.1.4,TypeScript strict mode,Status,Enabled,
'5.2. Documentation,,,
'5.2.1,API documentation,Format,Swagger/OpenAPI 3.0,
'5.2.2,README,Content,Setup instructions,
'5.2.3,Architecture Decision Records,Status,Có,
'5.2.4,Deployment guide,Status,Có,
'5.3. Modularity,,,
'5.3.1,Module structure,Framework,NestJS modules,
'5.3.2,Dependency Injection,Status,Có,
'5.3.3,Separation of concerns,Pattern,Controller → Service → Repository,
'5.3.4,Architecture principles,Style,Clean Architecture,
'6. USABILITY,,,Medium,
'6.1. UI/UX,,,
'6.1.1,Responsive design,Platforms,Desktop/Tablet/Mobile,
'6.1.2,Loading indicators,Types,Skeleton UI/Spinner,
'6.1.3,Error feedback,Method,Toast notifications,
'6.1.4,Form validation,Type,Real-time validation,
'6.1.5,Accessibility,Standard,WCAG 2.1 Level AA,
'6.2. Internationalization,,,
'6.2.1,Default language,Ngôn ngữ,Tiếng Việt,
'6.2.2,i18n preparation,Status,Prepared for expansion,
'6.2.3,Date/Time format,Standard,Theo locale,
'7. TƯƠNG THÍCH (Compatibility),,,Medium,
'7.1. Browser Support,,,
'7.1.1,Chrome,Minimum version,90+,
'7.1.2,Firefox,Minimum version,88+,
